beneficiary_id,account_id,beneficiary_name,beneficiary_account_number,beneficiary_bank,beneficiary_ifsc_swift,relationship_to_account_holder,date_added,is_first_time_beneficiary,is_verified,beneficiary_risk_flag,total_transfers_to_date
BENE000049,ACC000019,Wazir Vaidya,ZZZW4066658004397,Union Bank of India,HUWWGBX8,friend,2024-04-23,False,False,watchlist,5
BENE000050,ACC000020,Rishi Menon,OFVC2281606484229,State Bank of India,IAKOGBJC,family,2023-02-26,False,True,none,37
BENE000051,ACC000020,Ekantika Behl,YUTV4798515832818,Kotak Mahindra Bank,FNRRGBZF,vendor,2023-01-24,False,True,none,20
BENE000052,ACC000020,Timothy Kala,VKKL4398780157399,Union Bank of India,HBVKGBYH,unknown/first-time,2024-05-03,False,True,watchlist,13
BENE000053,ACC000020,Aahana Zachariah,XJAQ5887704358112,ICICI Bank,YRRAGBEN,family,2023-08-04,True,True,none,16
BENE000054,ACC000021,Panini Chawla,GRWX6120750110248,IDFC First Bank,CSHIGB0Y,friend,2018-02-16,False,True,none,30
BENE000055,ACC000022,Nidhi Sant,KAMV1809190158144,State Bank of India,TCJYGB2Y,friend,2025-04-12,False,True,none,1
BENE000056,ACC000022,Azaan Som,FRHE6842450882100,Union Bank of India,STMRGB9F,self,2023-06-28,False,True,none,24
BENE000057,ACC000023,Shivansh Padmanabhan,GNUQ2223943129087,Yes Bank,URCJGBEQ,business_partner,2025-03-31,False,True,none,15
BENE000058,ACC000023,Rudra Sur,KLEV3149135775949,IndusInd Bank,ESSLGBU1,self,2024-01-02,False,True,none,15
BENE000059,ACC000023,Aayush Munshi,HZHW6452577754781,Axis Bank,FUTCGBRI,business_partner,2023-01-05,False,False,none,26
BENE000060,ACC000024,Adya Bose,XCAQ0996930848872,ICICI Bank,LMHYGBSI,business_partner,2024-12-14,False,False,none,21
BENE000061,ACC000025,Yachana Uppal,CMLQ0392827229927,State Bank of India,LBHYGB5O,unknown/first-time,2023-12-24,True,True,none,38
BENE000062,ACC000025,Aishani Pingle,HBVG8567700518449,IDFC First Bank,RSFMGBYX,unknown/first-time,2024-04-04,False,False,none,3
BENE000063,ACC000025,Zansi Krishnamurthy,MHQM5577908272318,State Bank of India,UIGEGBLK,unknown/first-time,2024-10-02,False,True,none,12
BENE000064,ACC000025,Jagat Karpe,NZKX1777392603029,Kotak Mahindra Bank,SFEUGB6C,friend,2025-04-26,False,True,none,15
BENE000065,ACC000026,Daksh Ganesan,IFQM9904137977236,IndusInd Bank,TEZSGBL6,business_partner,2024-11-16,False,False,none,8
BENE000066,ACC000026,Oliver Oommen,OTSC3662103886291,State Bank of India,FPTTGBC8,unknown/first-time,2025-06-16,False,True,none,12
BENE000067,ACC000027,Girik Subramaniam,VETR0686508637659,Yes Bank,ZXYWGBG1,family,2022-09-10,False,False,watchlist,36
BENE000068,ACC000028,Aachal Sood,YHCJ9864300981806,HDFC Bank,UGWZGBU0,employer,2025-10-30,True,True,watchlist,29
BENE000069,ACC000028,Hredhaan Dubey,NUSI4869594636887,Kotak Mahindra Bank,FLRRGB4Q,unknown/first-time,2024-10-24,True,True,none,27
BENE000070,ACC000029,Hemangini Rao,XEVD3721386589026,ICICI Bank,UAZCGBJ4,friend,2018-12-06,True,True,none,33
BENE000071,ACC000029,Gaurang Bhatt,IHLC9066984902770,Punjab National Bank,GVZQGBSM,business_partner,2024-06-10,False,True,none,13
BENE000072,ACC000029,Yashvi Varty,WHTF0530214656693,Kotak Mahindra Bank,QAXWGBEF,friend,2024-06-10,True,False,none,13
BENE000073,ACC000030,Ijaya Palan,IHTG7690426818184,Axis Bank,KDZQGBQ8,vendor,2024-05-28,False,False,none,1
BENE000074,ACC000030,Saanvi Purohit,SPYH5779071416335,Kotak Mahindra Bank,NLQRGBAQ,family,2025-07-22,False,True,none,29
BENE000075,ACC000031,Bhavna Chander,MVXK1827553942373,Punjab National Bank,HXHIGBNO,family,2025-05-18,True,False,none,24
BENE000076,ACC000032,Zaid Parekh,EYDD1790807595794,Union Bank of India,PFYQGBRZ,friend,2020-01-21,False,True,none,3
BENE000077,ACC000032,Kabir Bhagat,QZNP8085627187500,Axis Bank,VGMSGBGU,vendor,2022-06-13,False,True,none,32
BENE000078,ACC000032,Aashi Grover,RIHI7955276365564,IndusInd Bank,OFSEGBOG,friend,2022-10-17,False,True,none,35
BENE000079,ACC000032,Warinder Sankaran,MGEZ2702672885744,Union Bank of India,RSBMGBGK,family,2021-08-25,True,True,none,21
BENE000080,ACC000033,Tanveer Kumar,PUDO5455884506159,ICICI Bank,GSSUGB8L,friend,2025-04-03,True,False,none,7
BENE000081,ACC000033,Isha Nair,VQPY7169472256996,HDFC Bank,CCFKGBOU,family,2024-09-21,False,True,none,27
BENE000082,ACC000033,Bishakha Loke,TUMI7598762202341,Kotak Mahindra Bank,GFMDGBGE,employer,2020-09-19,False,True,none,10
BENE000083,ACC000033,Chatura Bal,YMQY1149216433472,Punjab National Bank,EQFAGBCW,business_partner,2018-10-21,False,False,none,9
BENE000084,ACC000034,Vamakshi Sibal,RIRO2829979688457,State Bank of India,RHZCGB2T,self,2024-12-08,True,True,none,29
BENE000085,ACC000035,Nitara Lad,EJAA8254780774064,Punjab National Bank,THZAGB9X,self,2024-12-07,True,True,high_risk,35
BENE000086,ACC000035,Nisha Sarkar,MHFW6634163894484,Punjab National Bank,NGCFGBIS,vendor,2024-03-27,False,True,none,5
BENE000087,ACC000035,Tamanna Sethi,IWTP3502080214427,Kotak Mahindra Bank,XAHCGBJA,family,2025-10-09,True,True,none,17
BENE000088,ACC000035,Teerth Oommen,NJZZ7570512046187,Union Bank of India,FGIMGBAH,family,2025-03-28,False,True,none,36
BENE000089,ACC000036,Lekha Savant,HXBG7183764520881,ICICI Bank,IPUJGBMX,family,2025-04-18,False,True,watchlist,1
BENE000090,ACC000036,Tejas Chowdhury,HUNK0249163009792,ICICI Bank,LYCHGBK5,vendor,2023-03-06,False,True,none,9
BENE000091,ACC000037,Hamsini Bhasin,BLUE8127358573065,Punjab National Bank,XEIBGB52,business_partner,2025-07-05,True,False,none,17
BENE000092,ACC000038,Vrishti Gupta,SFRL5749821827448,HDFC Bank,LOAYGB6Y,unknown/first-time,2024-12-06,False,True,watchlist,36
BENE000093,ACC000039,Anirudh Patla,YTHK1863878294565,HDFC Bank,DDQVGBEC,business_partner,2023-01-04,True,True,none,3
BENE000094,ACC000039,Pranav Balay,GDPG1096789940539,ICICI Bank,WCAGGB5F,employer,2025-08-19,False,False,none,16
BENE000095,ACC000040,Darsh Patel,RXNL0948014138113,IndusInd Bank,RMGGGB7P,self,2016-01-10,True,True,none,25
BENE000096,ACC000040,Ojasvi Cherian,YUSL7612286852897,State Bank of India,LKRKGBX0,self,2020-10-03,False,False,none,19
BENE000097,ACC000041,Ekiya Khosla,SRGM8457760049082,ICICI Bank,JAJHGBNU,business_partner,2020-10-02,False,True,none,24
BENE000098,ACC000041,Anya Vaidya,RSSE1075224593344,Kotak Mahindra Bank,CSMSGBNE,employer,2022-09-26,False,False,none,27
BENE000099,ACC000042,Vasudha Ghose,PWWS1940961055661,State Bank of India,YHXUGBAY,vendor,2024-04-10,False,True,none,21
BENE000100,ACC000042,Dalaja Viswanathan,BKRS2583206799813,Axis Bank,NJZMGBJI,unknown/first-time,2021-12-20,False,False,none,33
BENE000101,ACC000042,Fitan Soni,SXBR6416862278376,Kotak Mahindra Bank,USGRGB7P,vendor,2024-05-15,True,True,watchlist,30
BENE000102,ACC000043,Ekbal Lata,YNKV9116655355904,State Bank of India,FLTZGB2J,unknown/first-time,2024-04-13,True,True,none,18
BENE000103,ACC000043,Chaitanya Kaur,GVLE1103924051477,HDFC Bank,AKGXGB8N,employer,2023-05-01,False,True,none,32
BENE000104,ACC000043,Aarna Subramanian,TXEW0698042043940,IndusInd Bank,OUACGBYR,self,2024-12-24,False,True,none,37
BENE000105,ACC000044,Hritik Bahl,JUMH6815798123878,HDFC Bank,WABHGB7T,self,2024-08-01,False,False,none,11
BENE000106,ACC000045,Vrishti Ramaswamy,XFAL5543840460843,ICICI Bank,EKMVGBIF,vendor,2025-12-25,True,True,none,29
BENE000107,ACC000045,Utkarsh Sahni,HSEN4957823298324,Punjab National Bank,WWQEGB1J,employer,2025-11-02,False,True,none,11
BENE000108,ACC000045,Eesha Bir,RRXD2520566474231,State Bank of India,EFAYGBRO,self,2025-09-16,True,True,watchlist,6
BENE000109,ACC000045,Vihaan Bal,LCWY7289752677223,IDFC First Bank,HBNYGBAR,self,2024-02-18,False,False,none,10
BENE000110,ACC000046,Tristan Jain,YGCF7975736609656,IndusInd Bank,TXSTGB87,business_partner,2025-03-10,False,False,none,39
BENE000111,ACC000046,Ikbal Seth,OBHQ8608680347644,IndusInd Bank,OFNJGBD7,business_partner,2023-09-06,False,True,none,0
BENE000112,ACC000046,Ubika Seth,CXQD2982665702793,ICICI Bank,OCIKGBKH,business_partner,2022-06-17,True,True,watchlist,13
BENE000113,ACC000046,Ishaan Sengupta,ULCQ6892686025922,State Bank of India,EFYWGBD0,unknown/first-time,2023-06-03,False,False,none,34
BENE000114,ACC000047,Dayamai Sehgal,JUFD2309407778097,Kotak Mahindra Bank,HGSVGB43,business_partner,2022-03-05,True,True,none,1
BENE000115,ACC000047,Riya Buch,TTAH8498302205020,State Bank of India,VSTJGBVF,family,2024-07-08,True,False,high_risk,30
BENE000116,ACC000048,Ikbal Saha,FFVJ9998279501455,Union Bank of India,MCYNGB9E,family,2019-08-13,False,True,none,25
BENE000117,ACC000049,Urishilla Desai,DWIK8683390198179,HDFC Bank,ZWJNGBUQ,self,2024-08-17,False,False,high_risk,31
BENE000118,ACC000050,Kai Taneja,QXUP7293430107139,Punjab National Bank,NNBKGBW9,vendor,2024-04-03,True,False,none,3
BENE000119,ACC000050,Advay Jaggi,WJIZ1448850155699,HDFC Bank,AFGKGBV4,vendor,2025-01-08,False,True,none,17
BENE000120,ACC000050,Balendra Deshpande,PEUO8576084958803,IndusInd Bank,SVKZGBWE,vendor,2021-02-11,False,False,none,22
BENE000121,ACC000051,Avni Balasubramanian,KMUR2996291450461,IndusInd Bank,PHLOGBTN,self,2023-08-06,False,True,none,30
BENE000122,ACC000051,Parth Choudhury,LZBY3178078235784,Punjab National Bank,YKEYGBG7,family,2025-01-25,False,True,none,21
BENE000123,ACC000051,Samesh Bansal,OMWQ1040915701840,Punjab National Bank,SYJUGBNU,family,2024-02-27,False,False,high_risk,23
BENE000124,ACC000051,Reyansh Mangat,IRKY7142241098813,State Bank of India,RLRKGBRJ,employer,2023-10-16,False,True,none,5
BENE000125,ACC000052,Yash Garg,CJTK8702070160166,State Bank of India,FWTSGB2W,family,2022-01-11,True,False,none,26
BENE000126,ACC000052,Gaurangi Hora,WYVZ8179217174773,Kotak Mahindra Bank,HETIGBXZ,family,2022-06-25,False,True,high_risk,22
BENE000127,ACC000052,Ganga Nair,OPAC7157724599281,Yes Bank,MWZDGBU9,unknown/first-time,2022-01-18,False,True,none,32
BENE000128,ACC000052,Chasmum Walia,OMSN3938276153966,ICICI Bank,SZKRGBPL,friend,2024-05-12,True,True,none,7
BENE000129,ACC000053,Vidhi Contractor,STOK8172461919657,Kotak Mahindra Bank,UVBCGBNI,friend,2025-11-03,False,True,none,35
BENE000130,ACC000053,Manan Dixit,ORJM9973354946519,State Bank of India,ATQMGBIS,business_partner,2025-01-13,False,True,none,28
BENE000131,ACC000054,Kala Bera,AWRL1403696566668,ICICI Bank,GVFPGBIM,business_partner,2022-05-25,True,True,none,10
BENE000132,ACC000054,Jagvi Sahni,EJVE2010276212679,ICICI Bank,NTFOGB61,business_partner,2023-04-12,False,True,none,18
BENE000133,ACC000054,Leena Pant,HFNT0973846895009,Punjab National Bank,PWLDGB4F,business_partner,2025-10-31,False,False,none,6
BENE000134,ACC000054,Ati Shroff,QCQT1371894905807,Yes Bank,OQPSGBV0,friend,2022-09-14,True,True,none,28
BENE000135,ACC000055,Chaitaly Mann,FBWT4940792904904,Axis Bank,PCEQGBER,business_partner,2025-10-28,True,True,none,10
BENE000136,ACC000055,Kevin Mand,IIAX1929275243728,Kotak Mahindra Bank,BKCEGBJ5,friend,2025-07-29,True,True,none,15
BENE000137,ACC000055,Leela Khanna,VOXU2395041027674,IDFC First Bank,PXYRGBOY,vendor,2024-10-12,True,True,none,26
BENE000138,ACC000055,Urvi Lala,EQNA4765801856945,Punjab National Bank,IIZDGBQZ,business_partner,2025-05-07,False,True,none,0
BENE000139,ACC000056,Wyatt Hayer,QKVW2580010618175,Yes Bank,HXJIGBMC,friend,2023-10-24,True,True,none,25
BENE000140,ACC000057,George Bhandari,TVGT1119269212447,State Bank of India,VCUOGBR1,employer,2023-04-27,False,True,none,35
BENE000141,ACC000058,Aarini Edwin,YCIY0665044271739,Yes Bank,MFUPGBGJ,friend,2016-06-14,False,True,watchlist,39
BENE000142,ACC000058,Tejas Cherian,OWID0119470720064,IndusInd Bank,EWKMGBA6,vendor,2019-10-22,True,False,none,25
BENE000143,ACC000058,Vanya Sarin,MXYZ1830671985546,Kotak Mahindra Bank,BUUCGBX8,self,2016-12-11,True,True,none,8
BENE000144,ACC000059,Faris Sharaf,YYJU3280634615717,ICICI Bank,XGEBGBMB,employer,2024-03-04,True,True,none,10
BENE000145,ACC000059,Vrinda Ramachandran,CZRU4787005050613,HDFC Bank,ZUVQGB38,business_partner,2023-09-19,True,True,none,19
BENE000146,ACC000059,Viraj Bora,BXEP0790320204179,IndusInd Bank,FSCDGBH5,employer,2022-06-16,False,True,none,16
BENE000147,ACC000060,Dev Jain,NKZX6519825309251,HDFC Bank,DIEYGB0K,business_partner,2024-01-21,True,True,none,36
BENE000148,ACC000060,Nitesh Sarna,HSBE1962071002194,HDFC Bank,NWZZGB4I,vendor,2021-05-27,False,True,none,37
BENE000149,ACC000060,Luke Madan,QONH2909279145608,IDFC First Bank,HGDQGBGX,business_partner,2023-08-02,False,True,none,18
BENE000150,ACC000061,Ucchal Joshi,IBGD2772200543645,IndusInd Bank,TZYOGBCG,employer,2023-02-02,False,True,none,37
BENE000151,ACC000061,Patrick Dugar,ZAPQ1137995635315,Yes Bank,HDHXGB0M,vendor,2021-10-25,True,True,none,26
BENE000152,ACC000062,Thomas Borah,PSPB6239726527354,HDFC Bank,GKEBGBDR,vendor,2023-11-10,True,False,none,4
BENE000153,ACC000063,Indrajit Shroff,ONFY5349292983168,IDFC First Bank,PGSPGB3R,vendor,2023-11-21,False,True,none,40
BENE000154,ACC000063,Priya Koshy,HKNS3929060078068,Punjab National Bank,MPZZGBG2,unknown/first-time,2025-07-01,False,False,none,9
BENE000155,ACC000063,Wridesh Chacko,RYAW6325431074279,State Bank of India,XSAOGB3I,vendor,2024-12-16,False,True,high_risk,32
BENE000156,ACC000064,Qasim Prabhakar,UOWU0165804649893,Axis Bank,ZVCTGBVD,vendor,2025-05-12,False,True,none,35
BENE000157,ACC000065,Charan Choudhry,MLOT0552818325381,Union Bank of India,UPXYGBNO,business_partner,2024-12-03,True,True,none,36
BENE000158,ACC000065,Ira Loke,QVNI0155778817884,HDFC Bank,OTLZGBEM,employer,2022-10-02,False,True,none,23
BENE000159,ACC000065,Gagan Buch,MFJC1241272380468,Kotak Mahindra Bank,EPLNGB2B,vendor,2021-09-07,False,True,none,37
BENE000160,ACC000066,Ranbir Bhatnagar,AZHQ5695579887749,Kotak Mahindra Bank,EZJFGBQO,friend,2019-07-21,True,True,none,31
BENE000161,ACC000066,Kamya Mani,YBEL4729284222231,ICICI Bank,BKSEGB2Q,employer,2021-10-25,True,True,watchlist,26
BENE000162,ACC000066,Qarin Jha,RWBV5525782841067,Union Bank of India,YEOKGBJA,friend,2025-07-05,False,False,watchlist,24
BENE000163,ACC000066,Chakrika Som,JYSV2975170281406,Union Bank of India,THOLGBFU,family,2018-03-29,False,False,none,28
BENE000164,ACC000067,Robert Vyas,HZYI3018718637599,Yes Bank,QBVLGBZJ,self,2025-03-11,False,False,none,25
BENE000165,ACC000067,Kala Raju,LAJL5478137674266,IDFC First Bank,ESTCGBJN,self,2024-02-03,False,False,none,5
BENE000166,ACC000068,Vaishnavi Vohra,KCSY6106462879232,HDFC Bank,MJRPGBCT,employer,2025-08-03,False,True,none,7
BENE000167,ACC000068,Wakeeta Sheth,HAZA2447146273014,IDFC First Bank,PCTXGBX4,self,2023-09-23,False,True,high_risk,33
BENE000168,ACC000069,Aarna Soni,WDLQ9042902572520,IDFC First Bank,ILNUGBWD,self,2018-11-19,False,True,high_risk,17
BENE000169,ACC000069,Bishakha Wagle,UCQG2192855445189,Axis Bank,LEAEGB7S,business_partner,2024-05-24,True,True,none,38
BENE000170,ACC000070,Vedhika Sabharwal,KFDG2833898881671,Union Bank of India,DEAPGBWT,self,2023-04-24,False,True,none,11
BENE000171,ACC000070,Liam Sathe,TQYK2401322342321,HDFC Bank,NWYZGBHE,business_partner,2023-08-16,False,True,none,5
BENE000172,ACC000070,Veda Sankar,BGDB8907140140119,ICICI Bank,GSGFGBWB,employer,2020-07-24,True,True,none,16
BENE000173,ACC000071,Madhav Mall,SLLF8938911908334,Kotak Mahindra Bank,FYRAGBGN,vendor,2022-09-28,True,True,none,20
BENE000174,ACC000072,Jeevika Goyal,OVDF5663836151718,HDFC Bank,EPYLGBS9,friend,2024-06-23,True,True,none,26
BENE000175,ACC000072,Fitan Narang,PDMJ7947386463175,Kotak Mahindra Bank,FAVPGBGZ,vendor,2022-03-10,False,True,none,38
BENE000176,ACC000073,Frederick Dar,EMMW9121535396136,IDFC First Bank,XPIYGBRZ,business_partner,2025-03-24,False,False,watchlist,17
BENE000177,ACC000073,Vamakshi Ravel,PQIE7114773201017,Yes Bank,VAFMGBUJ,vendor,2025-05-01,True,False,none,1
BENE000178,ACC000074,Gopal Bose,VYQY7734778485880,Axis Bank,YBNDGBY2,self,2021-06-09,False,True,none,35
BENE000179,ACC000074,Krisha Savant,OBBF8427624671978,State Bank of India,VRSPGB49,friend,2023-12-25,False,False,none,40
BENE000180,ACC000074,Yashawini Bhalla,MIPS6954500902559,Axis Bank,AYUKGBYG,business_partner,2020-05-11,False,True,none,10
BENE000181,ACC000074,Hemani Parikh,NLBV3334911415208,IDFC First Bank,KBOVGB16,vendor,2023-11-14,True,False,none,29
BENE000182,ACC000075,Amara Bahri,WPSA5696591713578,State Bank of India,ZYVKGBKT,self,2021-07-18,False,False,none,16
BENE000183,ACC000075,Rajata Jaggi,PUZC8344049639191,IndusInd Bank,SKICGB74,friend,2022-11-05,False,True,none,34
BENE000184,ACC000075,Shaurya Palan,ZCUJ8468536649878,ICICI Bank,FAUWGB7L,friend,2021-10-18,False,False,none,8
BENE000185,ACC000076,Tanay Sibal,IURZ9690835723246,Axis Bank,NKCUGBN0,employer,2024-01-23,False,True,watchlist,21
BENE000186,ACC000076,Bhavini Dyal,IVTH6312303477866,Kotak Mahindra Bank,UBGFGBRI,business_partner,2024-12-03,False,False,none,20
BENE000187,ACC000076,Aarna Mall,VRFU0700159416516,Axis Bank,XEHDGB6H,vendor,2025-12-28,False,True,none,8
BENE000188,ACC000077,Watika Chana,HTDY5596363212347,Punjab National Bank,NISBGB58,self,2018-11-06,False,True,none,31
BENE000189,ACC000078,Isaiah Nadig,RNPV3425754090034,ICICI Bank,RMJUGBXH,business_partner,2025-09-28,False,True,none,28
BENE000190,ACC000078,Saanvi Rama,AMIJ1343275604177,ICICI Bank,XNKWGB1G,friend,2025-02-28,False,True,none,0
BENE000191,ACC000078,Advika Toor,CLNT8570027206345,Punjab National Bank,SCDFGBP7,friend,2024-10-08,True,False,none,1
BENE000192,ACC000078,Nirja Nagarajan,OPXE4295431652669,Yes Bank,HAARGBOF,family,2024-07-20,False,True,none,14
BENE000193,ACC000079,Rushil Lala,WFBM9694215291086,Yes Bank,YOVPGBHO,self,2024-09-17,False,False,watchlist,38
BENE000194,ACC000079,Rayaan Lata,JXPM2639343626204,HDFC Bank,IHTOGBPX,family,2025-11-10,True,False,none,17
BENE000195,ACC000080,Frederick Anne,PEKW6366941180053,IDFC First Bank,PLTVGBCA,family,2025-04-29,True,True,none,8
BENE000196,ACC000080,Yamini Raj,JMVL2809242875721,ICICI Bank,KWQNGBJQ,family,2024-06-22,False,True,watchlist,17
BENE000197,ACC000080,Dhriti Basu,EPIX5644948562572,HDFC Bank,RVUZGB2D,unknown/first-time,2025-05-13,True,True,none,29
BENE000198,ACC000080,Manthan Bhagat,HFBP4276170758777,IndusInd Bank,DXEDGBWF,unknown/first-time,2025-05-09,True,True,watchlist,20
BENE000199,ACC000081,Bhanumati Gole,FXQI9939089261371,Kotak Mahindra Bank,KAJVGBHZ,self,2025-07-13,False,False,none,33
BENE000200,ACC000081,Hitesh Naik,EACO7749050975923,Axis Bank,BZUJGBUD,self,2024-09-03,True,False,none,20
BENE000201,ACC000081,Lakshmi Chanda,MIFH6103266421476,IndusInd Bank,XZJVGBIW,family,2024-10-17,True,True,watchlist,1
